Name,Product,Informed consent,Privacy,Information security,Physical safety,Trust,Sustainability,Other
P18,Felyx,"The user may have to agree and sign an EULA before using the service. In this form, the purpose of the data use must be indicated. For example, data about the gender and age that is used in the tailored advertising should be explained clearly without technicalities. This is important as the majority of users will not understand programming jargon.","The user will take the scooter to go from point A to point B at a certain time during the day. This information may be valuable for Felyx itself, for competitors to advertise their services when the ride is finished, or even for external people with a relationship with the user. Imagine the user is meeting one friend at 8pm. Because of the data stored in the scooter, the friend could know what the user is doing minutes before, which scooter is using, and between which locations, for example. What if the user says he/she arrives late but in fact is meeting another person? The example is simple, but in other cases it may reveal intimate aspects of people's lives and therefore raise ethical questions.","In order to meet the connected and user-friendly service Felyx is conceiving a flow of information is required. This information could be accessed by malitious entities if no security measures are taken. Nevertheless, additional protection is costly in terms of development, concerns the time and cyberliteracy of the user, and compromises the usability. An ideal, ultra-protected e-scooter service is not needed. Felyx must observe the weakest points of its network and take security precautions, such as asking the users to change the account's password frequently.","The e-scooter vehicle holds a variety of components that may propose a risk to the user. Examples of these components could be the motor controller and the battery. The user must be informed about the possible dangers of these components. 

Another issue is liability, if the battery explodes due to incorrect use of the driver, who should be identified as the responsible party? The company for not taking action properly, such as turning off the scooter? Or the user because of his/her behaviour? Felyx should have clear the possible danger and take the necessary precautions.","The failure of mechanical components (e.g. brakes) in the e-scooter, or the surprise when not finding one in the specified location could lead to a loss of trust from the user in Felyx and, more broadly, in the whole IoT industry. Moreover, in case the brakes do not work properly, not only trust is undermined, but a fatality could occur which leads to the ethics concern metioned in 'Physical Safety'.","The IoT brings an arrange of sensors and electronics components in the scooter, with non-recyclable materials and rare earth elements that propose a challenge in terms of sustainability. The design of the scooter must be optimised for recyclability and decrease the impact in the environment.",-
P19,Corona Certificate,"‚ÄòEUSafe‚Äô has a few ethical concerns with regards to informed consent. The main concern lies in the fact that a lot of the user‚Äôs personal information is needed to make this arrangement possible. Additionally, there are multiple actors in this architecture through which information exchange is taking place. These include the governments, hospitals, vaccination centres, test manufacturers etc. The user must know exactly how a particular actor is processing their personal data. Since all this data comes together into one unified platform ‚ÄòEUSafe‚Äô, there is a lack of clarity on how a particular actor is processing the user data. Lastly, all these actors have significantly differing needs for the same data from the users. Governments might use it for citizen surveillance while test and vaccine manufacturers might use it for targeted sales. These are quite different in their impact and scale and thus, pose a problem for the user who might have to agree to share the data just to be able to avail the vaccine certificate and travel freely. Offering a bare bones vaccine certificate with the least amount of identifiable personal data processing and adding extra options where the users can opt-in to make their data available would be the best solution in this case. The users should be able to see how a particular actor will process their data and choose to selectively restrict their data to certain actors. With respect to the exposure notifications, the user must consent to the use of specialised hardware on their smartphones to be able to exchange sensitive data (location). However, the EUSafe app is not a stand-alone application. It is installed on the smartphone with various other apps which it can communicate with through shared API‚Äôs.  These other apps can use the sensitive information for their own malicious needs. There should be clear communication to the user that the EUSafe app runs in its own sandbox and thus, cannot communicate with outside apps. Lastly, with respect to trend prediction, the use of non-identifiable numbers received from the health agencies do not have clearly defined informed consent issues since the algorithm just runs on the numbers and cannot identify individuals. However, the method of processing of the data before it reaches the appointed health authority needs to be clearly communicated to the user at the point of contact (test location/vaccine centre etc). ","The ethical concerns regarding privacy for ‚ÄòEUSafe‚Äô have the same roots as that of informed consent. Due to the sheer amount of user data that is needed for such an endeavour (e.g.: name, ID identifier, test/vaccine date, dosage status, results, and much more), there are bound to be concerns about the privacy of this user data. On the one hand, it is impossible to create this system without this data and difficult to make it reliable and secure if it is not linked to a particular user because the system needs to be interoperable at all levels. However, the nature of the data makes it quite sensitive. For e.g., the fact that a certain individual is not vaccinated might lead to discrimination in service in accordance with the global sentiment without realising why that individual is not vaccinated. Moreover, this might happen covertly at the verifier level and the user is left unaware of such discrimination. In essence, the private choice of the individual has been invaded upon. With the proposed architecture of national database and public EU keys, the personally identifiable data is protected at a system level. However, since this data is fed by humans into the system, there is always a possibility of data abuse and manipulation which the user is left unaware about. Thus, enforcing strict privacy regulations like the GDPR and appointing an independent 3rd party watchdog to conduct privacy audits is the solution to ensure user privacy. With respect to the exposure notification as mentioned before, the EUSafe app is not a stand-alone application. It is installed on the smartphone with various other apps which it can communicate with through shared API‚Äôs. These other apps can use the sensitive information for their own malicious needs. Facebook is notorious for conducting such practices. Recently, Apple released an update that prevented cross-tracking of applications much to Facebook‚Äôs anger due to lost ad revenue. Such an arrangement must be made commonplace before the privacy of the data can be ensured as 3rd party actors can always use the data due to the platform sharing. Additionally, regarding the exposure notification, the most sensitive data is that of user location. Logging this location and keeping a track of the user is an absolute violation of user privacy and thus, this is something that must be made absolutely clear that this data is not being collected or deleted after a specific time period. Using the DP-3T protocol is mandatory for this.","The ethical concern regarding Information Security of course comes from the fact that there is a lot of sensitive information that needs to be protected. In this case, the sensitive information ranges from the user‚Äôs personally identifiable information such as address, name, date of birth and other unique identifiers but also from the medical angle of health status such as vaccinated, recovering and or negative tests.  As mentioned in the privacy section, if this information falls into the wrong hands, there are a lot of avenues for user profiling and discrimination. As mentioned in the privacy section, the app can also communicate with other apps in a non-sandboxed environment thus leaking sensitive information. The use of AES256 bit encryption and MD5 hashing digital verification does alleviate some of the security concerns but the read-write permissions at the hands of the national authority always creates challenges due to the decentralised nature of the data across the EU. Individual member states may make deals with organisations for profit at the expense of the users. This is especially influenced by geopolitics in an increasingly polarised world. However, not having this interoperable nature could lead to operational inefficiency in the form of detailed fraud checks etc and this would lead to increased compliance cost. Thus, there needs to be a balance in the protection of information and the freedom with which it can be shared. Additionally, the location of physically storing this information is always a point of concern and should be secret information. Specialised data centres and high security are a pre-requisite for such massive operations. Ensuring this is always a difficult task and data breaches are quite commonplace. Thus, the user should have the option of deleting their data from the database if they choose to and periodic refreshes and checks must be done to check the security of the databases. ","At first glance, it might seem that there is no specific concern regarding physical safety since this is just a verification and information system for the status of an individual. However, on a closer look, the concern for physical safety is massive because of the type of data that is being verified: health data. If by any means, hackers and/or miscreants can clone the system and break through the databases and encryption layers of the system, there is an avenue for data manipulation. With this data, it is possible to present a false status and wreak biological havoc. For e.g., it is possible for an infected person to manipulate that they have a negative test result. On their travels, they can be a super spreader and thus, begin a wave of infections that would have been prevented otherwise. This could lead to strain on hospitals and economic strain on countries. Especially, in today‚Äôs geopolitical environment and rising nationalism, this situation does not seem too dramatic or crazy. Ensuring robust information security is the only way to prevent such a threat to physical safety. Additionally, since location data is being tracked, the logs can never be breached since this gives miscreants the location information for targets whom they can physically target and exploit.","As mentioned in the reference paper, trust is a function of all these specific sectoral concerns. The main ethical concern regarding trust comes from the fact that it needs to be made clear that this is a positive good move to ensure the better health of all EU residents. If there is trust among the people that this is for their betterment and the supporting infrastructure possesses the same qualities such as reliability and security, the trust in the system is built. However, the concern that this is a ploy by governments to control and create classes of people since people generally have an unfavourable view towards governments. This could also lead to the creation of two classes of people and infringe on the fundamental right of movement within the EU. These could completely erode the trust people have ion such systems as well as trust in the EU as a supra-national organisation. On a smaller scale, the users must be able to trust the data the EUSafe app showcases. These are linked to the exposure notification and trend analysis. If the data mirrors these predictions, then the trust in the platform will increase and more people will be willing to use it increasing accuracy. On the other hand, poor results will ensure users lost trust and dissuade users from the entire program and consequently, the governments and EU. This can ultimately boil over to dissent. ","Sustainability must always be seen from three lenses: people, planet, and profit. With this system, the concerns lie in the fact that there are profit motives for the companies involved to keep this system going especially the vaccine and test manufacturers. The vaccine production process is an extremely technical and difficult process and thus, needs a lot of care to ensure safety in the product. With ingredients such as Active Pharmaceutical Ingredients concentrated in some countries, there is a possibility that this system encourages vaccine hoarding in developed countries and thus, a lack of supply in other countries since total production is limited. This leads to inequitable distribution further lengthening the time-period of the pandemic and in turn, filling the coffers of these companies. Moreover, it also grants the governments a probable reason to keep this going and slowly but steadily infringing on fundamental rights of citizens even when the situation does not demand such a restriction. And finally, by promoting heavy testing and vaccination, the strain on the supply chain to provide and keep up will eventually lead to some accidents, human rights issues, and environmental destruction in some parts of the supply chain just like every other industry. These are serious concerns to sustainability and thus, must be kept in mind when propagating this system as the saviour of the times. The goodness of the system lies in the temporality of it. ",
P20,Permobil connected wheelchair,"The Permobil Wheelchair IoT system would be regulated by means of a EULA, ‚Äúend user license agreement‚Äù, in which the terms and conditions of the data prediction service would be stated.

The main concerns came for both user and vendor sides. On the one hand, the user should be aware of the risk that accepting information implies.  On the other hand, the vendor should provide a clear and precise statements of the implications of using the product, rather than an extensive or ambiguous description (Allhoff et al, 2018).
The probability the client to permit the access to unwanted private data depends on the vendor‚Äôs contractual document characteristics. Below, a possible example of a short EULA is proposed:

‚Ä¢	Permobil declared itself as the server administrator. As the administrator it must guarantee the proper operational functioning of the and advocate for the client‚Äôs privacy.
‚Ä¢	Enterprises interested in accessing the data are referred as other parties.
‚Ä¢	The client has the right to access this service or use the product with exclusively the local benefits. (heart rate monitoring and statistics)

The following conditions are applied to clients using the prediction service:
‚Ä¢	Other parties (Public administration and private health care entities) can request the access to a client‚Äôs data, which needs to be accepted for both the administrator (Permobil) and the client.
‚Ä¢	In case any of the afore mentioned deny access to the data, the other party will not have access to the specific client‚Äôs data. 
‚Ä¢	The right to modify client‚Äôs information is prohibited to all the participant entities to guarantee the veracity of the data. 

This EULA makes clear in a few lines the acquisition, retention, and sharing of personal data.
","
The first ethical concern related to privacy is how is it guaranteed the privacy of a client‚Äôs data. 

The second ethical concern related to privacy is who should be the owner of the data. As I stated in the previous answer, Permobil could be the administrator, who could give authorisation (if the client also agrees on that decision) to the health care public and private entities to access client‚Äôs data. 

Permobil should inform about the objectives of the information sharing and not use the information for economical purposes.

The afore mentioned(in informed consent) both side verification (client + administrator) is designed with the intention to have an accurate control of who can access each client‚Äôs data and give the client the right to decide.
","Looking at the security of the information, it's useful to remind how the architecture I proposed worked. There information flows from the wheelchair, to the smartphone and from the smartphone to the cloud server. The first transfer is considered more secure because of  the distance limit of the BLE technology and the single connection of 2 devices. 
(https://vpnoverview.com/privacy/devices/bluetooth)

The second connection brings to play risk during the upload and during the access to the online data. Starting with the access protocols, the most common way to tackle this issue is the client-password log in. The online server is designed in such a way that each client-password request access to the online server to access certain amount of data which contains the client private information.

With regard to the client-password security layer, it brings to play some responsibilities for the user. For example, the complexity and frequency of changing the password is advisable to keep your data secure.

Besides that, to guarantee the information security during the transference of data to the cloud server encryption-decryption techniques are proposed to avoid possible interceptions of the data during the transference.","As stated in the Allhoff et al work, there are several concerns related to actuators malfunctioning or sudden failure that can suppose a notorious hazard (2018):

‚Ä¢	Seat positioning actuators failure. Can affect both the comfort during the transport and the cognitive ergonomics. The user could feel mounted in a device that cannot be controlled and he could feel observed by bystanders, leading to negative emotions.

‚Ä¢	Brake‚Äôs failure can derive in an impact or accident with other vehicles on the road. In case the user would fall from the wheelchair he might not be able to sit again, supposing a big deal in his autonomy. 

‚Ä¢	General failure of the system. The user will not be able to autonomously go back home.

Although to generalise is politically incorrect, for a great majority of wheelchair users the autonomy or independence is highly valuated, and they challenge themselves to be autonomous.","Trust per se is a complex term to identify. They can be identified several trust relationships:
‚Ä¢	User's Trust in the company. The openness when communicating with the user is key, but also the attitude. The company's attitude has an effect on the trust in the data security. Therefore, professional communication is key.

‚Ä¢	User's Trust in the data. Possible mistakes in the local storage due to storing errors, can lead the user to think that the data is randomly displayed, deriving in a trust loos. 

‚Ä¢	User's Trust in the product. The reliability highly affects the perception of the quality of the product. The quality likewise affect the trust that the user deposit on the product.

‚Ä¢	Caregiver's Trust in the predictions. The accuracy of the algorithm is key to provide the caregivers the correct predictions, that trust is built with the sand of the time.
","For assessing the sustainability of my proposed solution, the sustainable development goals are a good base to start with. (United Nations, 2015) The following two goals are the core essence of the Permobil new chair: 
3.Good health and wellbeing. 
10. Reduce inequality within and among countries

The new modifications Incorporated try to help the user to keep in a healthy lifestyle and decrease the inequalities that such a vulnerable collective as reduced mobility people suffer.
 
However, other goals could be affected such as the number 12: responsible production and consumption. I conducted a 3-year research with reduced mobility users during my bachelor and one of the main challenges I noticed in the wheelchair design was how to guarantee the functioning of the controller. It was detected that component sometimes needs to be replaced excessively if the user exposes the wheelchair to the rain. The durability and reliability should be a key requirement for a product that aims at offering autonomy.

Finally, I think that other aspects related to recyclability of materials, production offshoring model, critical material extraction, batteries pollutants should be analyses critically to  assess the sustainability of such a necessary product.

https://sdgs.un.org/goals
",
P21,Corona Certificate,"My design proposal for the COVID-app uses connectivity with the internet to transfer data from the GGD servers (Dutch Health Organizations) and Rijksoverheid servers (Dutch Government). Users should be made aware that this data transfer takes place and that it is connected with their DigiD (National Digital Identification) of the government. This data transfer will only be used for vaccination confirmation (to avoid fake vaccination certificates), sharing statistics about COVID-19 in the Netherlands and to generate the unique certificate QR code. Without this connection the user won't be able to load statistics, certificate and thus also QR code. The user needs to be informed about the necessity of the internet connection with the servers, to provide them their statistics and confirm their personal vaccination certificate.

Another aspect that users need to be informed on is the use of Bluetooth data exchange with other COVID-app users. When installing the app the first time, users have to be informed and asked to enable Bluetooth access by the app. Only this way the app will be able to warn them from any infection dangers they have been exposed to in a certain area. It won't track their identity or location, only exchange a randomly generated code with other app users when in range. This way the app can send the user a notification when an app user in range was tested positive on COVID.","Privacy is an important topic, especially regarding governmental data sharing. Therefore the app is specifically designed with Bluetooth sharing rather than GPS location tracking. Bluetooth code sharing would be anonymous and no specific location data will be gathered. It will only remember a random generated code of app users that come in a certain range of each other. Once an app user is test positive with COVID the GGD will send everyone with shared Bluetooth codes a notification about infection risk. 

The QR code for showing your vaccination certificate works similar, as it doesn't exchange any details about the individual besides if he or she is vaccinated. The employee that scans the QR code will therefore only see a ""check"" or ""cross"" regarding the confirmation.","Most of the medical and identity data is highly personal and should definitely be kept secure at all times. Therefore the app won't use any user created account, but link it to their DigiD (National Digital Identity of the Dutch Government). Once the app is linked with the user can request their vaccination certificate via the app by scanning their fingerprint on their phone. If fingerprint scanning is not an option the user has to log in with their DigiD to receive it. This way the government has control over who specifically owns a vaccination certificate, while the user's info is more secure by linking it to their DigiD, like the system most Dutch banks are using with mobile payment.","Physical safety isn't a major factor regarding this design proposal. The only aspect that could be connected to this is the infection risk. The app would give users the indication when someone has tested positive in their area (in a recent period of time). However, this doesn't mean that users with this app won't run the risk on an infection. Probably a lot of people won't test themselves or carry the virus without even knowing it. They won't be registered as a positive COVID-case, thus not alerting app users. This should be communicated clearly in the app, to avoid users in expecting a completely risk free experience.","Trust can be directly connected to the physical safety topic. Users should trust the app in reducing their risk of infections by providing more information, compared to when they don't use it. However, it doesn't mean that they can completely trust the system to avoid them from being infected at all. They still are at risk and they should know that. 

The DigiD is the Dutch Digital Identity Passport and has multiple verification steps via an encrypted connection. This would hopefully provide users with more trust as it is directly connected with your civil registration. 

The use of Bluetooth and QR codes would hopefully provide users trust in the app that it won't contain any background data transfer. The app can therefore be used without GPS tracking, camera and microphone for example. ","The design proposal makes use of existing technology integrations, therefore reducing the sustainable impact on the environment and daily routine. Using an app on a smartphone is something people are familiar with and doesn't require a new electrical device to give to the entire Dutch population. Every modern smartphone has Bluetooth and internet connection, therefore it serves as a suitable platform for the software.

Additionally, a Digital Certificate will be much more sustainable compared to Physical Certificated. Printed certificates for example, could provide unintentional paper pollution in the cities or require physical resources to manufacture. Smartphone and servers do use electrical power, but won't compare regarding sustainable impact to manufacturing a physical certificate for the entire Dutch population. Therefore the impact of a digital certificate is much lower.","This design area is especially ethically sensitive as it both deals with governmental, medical and societal data. Being marked as ""infected"" has a really bad taste to it and having the virus is a very personal thing for people. Therefore it is highly probable that finding an ""ethically perfect"" solution is impossible. The Dutch government has to test various ways of integrating vaccination certificates into our society and opt for a solution that creates the biggest impact in reducing the COVID-impact."
P22,Felyx,"When people are in a rush for example when they missed their bus, they search for an alternative to avoid being late somewhere. When they are walking and spot the Felyx scooter it might happen that they agree with the terms and conditions without even reading it because of being in a rush. I think Felyx scooter is used many times ‚Äúto be faster‚Äù and not that much of a ‚Äúplanned moment‚Äù so I think it happens a lot that people are in a rush and therefore do not read the terms. ",When using the Felyx it tracks and saves your location. The users pay with their back account and the data is saved. With data they know at what placed you are on what time and also the frequency. Based on this data they can make assumptions on what you‚Äôre doing there and can make an overview of what you‚Äôre doing in life. There are some concerns if this gets into the wrong hands.,"The concern that I have regarding information security is how good the data security of the company is. For example, if the company knows your address and knows when you take a scooter, then company also knows that you are not present in your own house. If the information is not properly secured and people can have access to the data, they could break in into the user‚Äôs house for example.","The concern that there is regarding physical safety is that suddenly the scooter stops driving. This could happen for example when there is a bad connection with the cloud and the scooter logs the user out. When this happens, the scooter stops with driving. This could be dangerous when you are in the middle of the street for example, and it could endanger your physical safety.",This concern is a sequel on the ‚ÄúEthics concern regarding Physical safety‚Äù. When the scooter suddenly stops driving in the middle of the street or it just does not work the user will get suspicious about the scooter. The user might not trust the scooter anymore and prefers not taking the scooter any longer. ,"There are some concerns regarding sustainability. The scooter can be used by everyone, therefore the scooter is not a personal item. People care less about a product if it is not theirs. This can cause more damage to the scooter and is therefore seen as less sustainable.",
P23,Felyx,"The user should be fully informed about what Felyx will do with the user‚Äôs information and that they will sell it to third parties. What could happen, though, is that the user does not (thoroughly) read the consent form and either just writes down their signature or skips it entirely. ","Someone outside the company can hack the database with personal information and sell this to third parties. Felyx can also, without the user knowing, obtain more personal data than was previously stated they would gain in their consent form. They could profile their users and gather incredible amounts of personal information. Also, when Felyx sells the information to a third party themselves they do not know what these companies will do with it exactly and the personal data of users can get into the wrong hands. ","The personal information could be poorly secured, which could lead to outside operators breaking into the system and potentially observing users in private spaces. They could have a microphone in their scooter and listen to the user‚Äôs conversations. Or these outside operators could simply hack into the system and do whatever with the information they obtain. ","The system can get blocked, whilst driving, resulting in the scooter not being able to stop. This can lead to major accidents, like what happened in the Netherlands in 2018 when the brakes of a ‚ÄúStint‚Äù were blocked and the car full of children came under a train. The same could happen with the scooter. Or the accelerator blocks or gets hacked and the scooter keeps speeding up. This could all form a danger for the user itself and the people and environment around them. ","The user has to trust the Felyx scooter and its workings. They have to trust that the scooter is safe to use. They also have to trust the company and they will the safest and best working product. A concern could be that users trust the company, but Felyx does not act upon that trust. This needs to be prevented. Also, if there is a public accident with the scooter due to, for example, a malfunction, the user will lose trust in that they can no longer rely on the scooter. ","As the felyx scooter promotes an easy and accessible way of transport for small distances, it encourages people to use an electronic device which needs things like power supply to keep functioning. More people will use the scooter instead of walking the small distances, which contributes to more energy usage. ",
P24,Permobil connected wheelchair,"In regards to the medical aspect of this assignment, informed consent is important and that the user should be educated of the detailed process. Informed consent in this scenario can be quite misunderstanding because when users or whomever that is signing, it is under the assumption that they 100% understand what the data collected from the wheelchair will be used for. Similarly to people surfing the web who clicks ""Accepts all cookies"" without looking into the context of what that means. ","Privacy is a big concern within the growth of IoT where users are afraid that the information given on applications could be leaked to the public or access by hackers. In this application, health data might not be as crucial to lose than personal information of the user. Not only that but the rights of the people who have access to the charts besides medical professionals. Users might feel hesitant on giving out personal information about themselves in research trials and rather remain anonymous which could potentially be an option. ",Patient confidentiality remains an important challenge within medical care where user's decision should be respected but their best interest should be kept in mind when making medical decisions. Users have the right to choose who will have access to the information and how it should be managed. There is always a risk of having data leaks from hardware attacks or unreliable networks when consent is given to have personal data collected. ,"The state of physical safety of the user stems from the privacy and information security concerns. As stated before, if a user's personal data is leaked they can be at risk of having strangers knowing where they live, demographics, and other conditions. ","In a personal opinion, the ethical concern of trust is an important one as users are 100% confident into the research and system they are signing up for relinquishing and sharing data with others. For example, currently the prediction model runs at a 75% accuracy; users will have to understand that the output given for their data could potentially fall within the false negative or positive areas. Similarly, it is equivalent of getting life threatening results from a doctors visit, experiencing overwhelming mental and physical stress, and for it to conclude being a false positive. ",I do not fully understand how the ethics concerns regarding sustainability is applicable for this project in the point of view of IoT. It is in the hands of Permobil to decide the design and selection of materials and sensors that would be make the wheelchair a more sustainability such as reparability so broken wheelchair would not have to be dumped into a graveyard like the examples during the lecture. ,"As wheelchair data collection shares similarities to the data collection of fitness watches, where does data selling fall within the ethics concerns of IoT? Not only that but the sharing data with insurance companies. The possibility of the company to reject coverage of a user who has had a long history of medical issues. "
P25,Hôtel Première Classe,"This IoT system does not collect any personal data. Its only ethical concern based on informed consent is that the system knows when someone is actually in their room or not. Which could indicate to people who want to steal their belongings when they are safe to enter. Without such an IoT system, only the staff that is present would know who are in, because they might have seen them enter/leave the building. 
In principle, the data that is collected will only be connected to the room number and should stay disconnected from the people who hired the room to improve privacy concerns. Based on these I think it is not necessary to ask for informed consent of the hotel guests. 
","The smoke detector is looking at you 24/7. However, it only can see you through a low-resolution infrared camera. This makes sure it can detect temperature and human presence, but not what you are doing, or what you look like. For the sound detection also there has not been used a microphone but a sensor that can only detect sound level. Both to increase privacy concerns. Like I said before the only privacy concern is that if the data is accessed by someone it is not meant for they can see whether or not you are present in your room. Any patterns that emerge from this data are hard to analyse because they are not coupled to a specific person. Furthermore, patterns are hard to determine because people only stay for a short period of time. The only patterns that can be found will be based on specific rooms, which could lead to gaining more knowledge about the user behaviour of that specific room. For example, learning that people spend more time in a room that has a window in the southern direction. ","To ensure information security the smoke detectors communicate over a separate secured wifi network coupled to the local server. After entering the local server the data will be encrypted when sending it anywhere else. Still, this does not forgo the warranted concern that the data may be sent encrypted towards the manufacturer of the smoke detectors. It also doesn‚Äôt overcome any unknown use cases of the data by the hotel or the manufacturer of the smoke detectors. Ideally, after production, the devices don‚Äôt send any data back to the manufacturer. ","This IoT system has an influence on the guests by being able to sound an alarm and to activate LED‚Äôs on the device to indicate the type of danger. If these features can be accessed or activated when not intended they can influence multiple things. They can create chaos and stress because people get scared and need to exit the building, leaving all their valuables. Furthermore, if the system is accessed remotely the fire department may be called by the system, which can indirectly harm others because they come to a hotel that‚Äôs not in danger while they might be needed somewhere else. ","The trust for this service has to lie mostly with the hotel chain since they will interact with the system. The guests don‚Äôt interact or ‚Äúuse‚Äù this system. They only need to trust that it works reliably as a warning system for any hazards in their room/hotel. Keeping the trust and confidence of the users is key since for IoT systems it is very hard for the users to know what exactly is going on in the background. You often don‚Äôt know where your data goes, how it is processed and only a small part of what they do with the processed data. ","The ethical concerns regarding sustainability have mostly to do with the increased power use this system introduces in comparison with normal smoke detectors. Also, the increase in used sensors and actuators increases the impact on the planet. ",
P26,Felyx,"When downloading the app for Felyx there will be terms and conditions that the user will have to agee with in order to use the app. In these terms and conditions the user will, among other things, be informed about the collecting and usage of data of the user. Information might be gathered directly from the app or otherwise via thier Apple/Google-account. The latter are 'third parties', more on this on the following questions.
The concern with these terms and conditions is that they are mostly hard to understand, long pieces of text wich no one reeds. ",Felyx might be able to collect geological data about their users; which is from where to where do their users drive the scooters. This can be very sensitive information which either should not be stored at all or be secured very well (meaning no one can get insight in this information but Felyx themselves). This is true for any data Felyx gathers from its users. ,As discussed in the last question data gathered by Felyx must be secured or not stored at all (referring to A01 to A06 of the IoT threat matrix). To garantee security the data should never be sold to third parties.,"No real physical safety concerns occur, assuming Felyx does not share (or not store at all) the geological data of their users; e.i. from where to where the user drives a Felyx scooter.","Again, the terms and conditions is where all the agreements are made, trust is built partly on this.","As with other services where the user does not own the physical product they use, users are less inclined to act responibly with said product. This could result in more scooters breaking down or needing repair than with a regular ownership model.",
P27,Nike gym shirt,Users of the Nike gym short have to give permission when using the app that their information regarding their exercises will be shared with the servers from Nike. Their information will be processed and compared to an average based on data of health services and other users.,"All data that will be sent to the servers from Nike will be seen and kept as confidential information. No names have to be filled in , in the app to use the product. Information should not be used to advertise, or share with health insurance companies. ","Data collected from the users should be encrypted, so that 3rd parties cannot intercept their information. Leaked information could have dangerous consequences. Data can be sold to health insurance companies, which can cause the monthly subscription to rise for less healthy people. Data can also be used to have targeted advertisements when leaked. For example users with a high stress level could be offered products that can keep them relaxed.","Since a lot of different kinds of sensors will be used and the majority of them need to have contact with the body. There needs to be a place in the shorts which is always tightly connected to the body. This spot cannot be too tight to prevent discomfort. Therefore the fabrics should be made of elastic materials where the sensors will be mounted on. Also, since the information needs to be processed before sending it to the mobile phone via bluetooth. A small processor and battery needs to be used in the Nike shorts. Since it is mounted close to the human body, attention needs to be paid on where to mount this. I would suggest to place the battery and processor not to close to the genitals, but to the side of the user.","Over the last decades, Nike has established a reliable reputation regarding sportswear. It is one of the biggest brands globally. Since it is a well known brand, people will be more likely to buy smart products from them, than from others. However, in order to keep their reputation, they are forced to secure all data from their users to prevent it from getting hacked.","Although sensors, microcontrollers and batteries are bad for the environment. Nike can still have an influence on where these products are produced. For example, they can stimulate to let the sensors be produced in countries where labour conditions are sufficient. As for the fabrics, Nike can determine to use only sustainable fabric to compensate for the electronics used in the product.",
P28,Smart cabin,"In order to optimise the uniquely catered service within the smart cabin for each of the passengers, data will need to be collected. This data is collected with the intention of improving the experience of the customer but it is of utmost importance that customers are aware of this and that they give consent for this data to be collected.  Transparency is also key here, users should know what their data is going to be used for.","With the many different sources of data that could be collected in the smart cabin, elaborate user profiles could be created for each of the passengers. Data on user's heartrate, movement patterns, hydration levels could give insight into their behaviours and potentially be used to sell more beverages, comfort items, etc.  The question needs to be asked whether all this identifiable data does not infringe on the users privacy. Up until now there is not a lot of regulation here and a lot of the responsibility lies with the company.","Although information security may normally pose a significant problem for IoT systems, an IoT system on an airline may work a bit differently. As the airplane is airborne for the majority of the passengers journey and the bandwidth of its connection is very limited to the rest of the world, a lot of the data will likely need to be processed locally. This localised data makes it significantly harder for outside parties to get ahold of this data. Never-the-less, data should be properly encrypted between the IoT devices in the cabin, to prevent other local devices to be able to intercept it. ",The features of the smart cabin serve to improve comfort for its passengers. Some of its features may include actuators like an automatic opening luggage bin or an auto-locking lavatory. These features with actuators need to be made in such a way that they do not accidentally harm its users. For example by incorporating a force sensor to prevent a person being squished by the bin or a motion sensor in the lavatory to prevent it locking someone in.,"As mentioned earlier, transparency of the IoT system will play an important role in giving users a feeling of trust. If both parties, user and provider can openly show that their values are aligned and that their is no undesired exchange of data then the smart cabin can provide a trusted experience.","Flying is very impactful for the environment. The heavier a plane is, the more fuel it needs to consume for the same journey. It is therefore important that these IoT systems do not add significant weight to the plane. On one flight this may not make a big difference but if every aircraft includes these systems it could greatly increase fuel consumption and impact on the environment.",
